date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,winp,bsl_h_mu,bsl_h_s,bsl_a_mu,bsl_a_s
1998-04-15,Grenada,Anguilla,14.0,1.0,CFU Caribbean Cup qualification,St. John's,Antigua and Barbuda,True,0.9760428140878997,21.206640919200282,0.43244761090245715,15.998740543617355,0.667631736128057
1998-04-19,Antigua and Barbuda,Grenada,2.0,1.0,CFU Caribbean Cup qualification,St. John's,Antigua and Barbuda,False,0.36460748543145716,20.628220715709062,0.3518983205854332,21.426340043661625,0.4263075671583828
1998-04-19,Guyana,Anguilla,14.0,0.0,CFU Caribbean Cup qualification,St. John's,Antigua and Barbuda,True,0.9757286816940591,20.498499576817682,0.361701428781201,15.475097585481608,0.6448086092631029
1998-04-19,Zimbabwe,Namibia,5.0,2.0,COSAFA Cup,Harare,Zimbabwe,False,0.6412094053457545,22.456617347364126,0.23888674332972423,21.64563591730006,0.43024714116023516
1998-04-21,Latvia,Lithuania,1.0,2.0,Baltic Cup,Liepāja,Latvia,False,0.46054270008726583,24.444647656749897,0.2978670120281248,24.660904935174777,0.3069591573893002
1998-05-03,Angola,Zambia,1.0,1.0,COSAFA Cup,Luanda,Angola,False,0.4375069923077789,22.737837336292475,0.308735418501689,23.072035632716474,0.17137576191669532
1998-05-06,Cayman Islands,Cuba,2.0,2.0,CFU Caribbean Cup qualification,George Town,Cayman Islands,False,0.14930795616089398,19.775561981254054,0.5199861872543516,22.24413371067773,0.32341505872251025
1998-05-08,Cuba,Bermuda,2.0,1.0,CFU Caribbean Cup qualification,George Town,Cayman Islands,True,0.6035029556582492,22.203630709980224,0.32075087500545646,21.5800007160728,0.5230053008270849
1998-05-10,Cayman Islands,Bermuda,2.0,0.0,CFU Caribbean Cup qualification,George Town,Cayman Islands,False,0.25209811164992724,19.88026286300293,0.5088394847537233,21.563855250719726,0.5116644407125158
1998-05-16,Zambia,Mozambique,1.0,0.0,COSAFA Cup,Lusaka,Zambia,False,0.6548804057698391,23.070433054943642,0.17096436989318237,22.223321518563615,0.3104173975463031
1998-05-17,Japan,Paraguay,1.0,1.0,Kirin Cup,Tokyo,Japan,False,0.1905168961728747,21.64306890346463,0.2189052845844332,23.461082512951368,0.16569507481295634
1998-05-21,Czech Republic,Paraguay,1.0,0.0,Kirin Cup,Kobe,Japan,True,0.5999213704707863,24.005027759930698,0.3922824768898091,23.452866837336238,0.1653202595744472
1998-05-24,Japan,Czech Republic,0.0,0.0,Kirin Cup,Yokohama,Japan,False,0.14155921356878454,21.657408488258888,0.21804026763853607,24.016177015244146,0.38736863259740045
1998-05-24,Mozambique,Zimbabwe,0.0,2.0,COSAFA Cup,Maputo,Mozambique,False,0.45269329350125653,22.220916496548593,0.3079661990244919,22.476629660695355,0.2377922681481937
1998-05-30,Namibia,Angola,1.0,1.0,COSAFA Cup,Windhoek,Namibia,False,0.30458598677303217,21.58072030157024,0.42381961423999087,22.743038412628557,0.3063235972503988
1998-06-04,Estonia,Faroe Islands,5.0,0.0,UEFA Euro qualification,Tallinn,Estonia,False,0.8970591384895441,23.5639657185949,0.3060939328991107,20.70866863425857,0.404363811527535
1998-06-10,Brazil,Scotland,2.0,1.0,FIFA World Cup,Saint-Denis,France,True,0.6708676702958506,25.030449913416472,0.14933070332601964,24.120253861853076,0.18847449983261985
1998-06-10,Morocco,Norway,2.0,2.0,FIFA World Cup,Montpellier,France,True,0.533079086257444,23.782882097136405,0.19680267280095126,23.60996767839841,0.21040062188043807
1998-06-11,Italy,Chile,2.0,2.0,FIFA World Cup,Bordeaux,France,True,0.7707540256093592,24.966051586840397,0.16278708714513046,23.443383206686164,0.1657172952634993
1998-06-11,Cameroon,Austria,1.0,1.0,FIFA World Cup,Toulouse,France,True,0.2841434317077719,23.350907509075633,0.19185381282016195,24.530441119460846,0.17452530049937384
1998-06-12,France,South Africa,3.0,0.0,FIFA World Cup,Marseille,France,False,0.7442307397720268,24.61204001084907,0.1849485973885794,23.16616617163357,0.4103405739932584
1998-06-12,Paraguay,Bulgaria,0.0,0.0,FIFA World Cup,Montpellier,France,True,0.416337141351827,23.450886677715456,0.16495436568026536,23.885464736267796,0.1724550711367021
1998-06-12,Saudi Arabia,Denmark,0.0,1.0,FIFA World Cup,Lens,France,True,0.03883615335262325,20.440081206132213,0.19301030847713424,24.10353031877126,0.19777489615937513
1998-06-13,Korea Republic,Mexico,1.0,3.0,FIFA World Cup,Lyon,France,True,0.150212893344442,21.94328879532072,0.1502308368137315,24.080218852501957,0.20263056844382915
1998-06-13,Netherlands,Belgium,0.0,0.0,FIFA World Cup,Saint-Denis,France,True,0.6267617232859848,24.771457158003045,0.1824322743226061,24.102884877108735,0.18642096247698295
1998-06-13,Spain,Nigeria,2.0,3.0,FIFA World Cup,Nantes,France,True,0.712582429073033,24.802830427223476,0.18222396948851394,23.6402571731582,0.19829599437725384
1998-06-14,Jamaica,Croatia,1.0,3.0,FIFA World Cup,Lens,France,True,0.12835293904187117,22.147793479703687,0.24070528655280413,24.761476989962947,0.49645432854175775
1998-06-14,Serbia,Iran,1.0,0.0,FIFA World Cup,Saint-Étienne,France,True,0.908470130245336,24.95701207769992,0.5659400709211745,21.7999674814768,0.22571235061869258
1998-06-14,Argentina,Japan,1.0,0.0,FIFA World Cup,Toulouse,France,True,0.9209098322499778,24.59637221983519,0.1502463508698683,21.675502525234425,0.21720236775374543
1998-06-15,England,Tunisia,2.0,0.0,FIFA World Cup,Marseille,France,True,0.7779529377007497,25.012453160904744,0.18513190622573464,23.42186221178427,0.2100486957260721
1998-06-15,Germany,USA,2.0,0.0,FIFA World Cup,Paris,France,True,0.8495984879079799,25.284165650874694,0.17453496570537896,23.12849221287149,0.22998213130274098
1998-06-15,Romania,Colombia,1.0,0.0,FIFA World Cup,Lyon,France,True,0.7407719571810486,24.223460251791106,0.17554966658609744,22.888191627722712,0.19244495294253558
1998-06-16,Brazil,Morocco,3.0,0.0,FIFA World Cup,Nantes,France,True,0.7277770697945839,25.030780493833852,0.14905559671073393,23.781781127357995,0.19617513752375038
1998-06-16,Scotland,Norway,1.0,1.0,FIFA World Cup,Bordeaux,France,True,0.5966009166237669,24.11972725791631,0.18792108684636408,23.61122604577714,0.20963363918705
1998-06-17,Chile,Austria,1.0,1.0,FIFA World Cup,Saint-Étienne,France,True,0.3008116279836469,23.45029039539897,0.1653410013540844,24.5245195884965,0.17408667065619693
1998-06-17,Italy,Cameroon,3.0,0.0,FIFA World Cup,Montpellier,France,True,0.7811913089609759,24.95938650397777,0.16243041744637557,23.358063307281014,0.1912709741168736
1998-06-18,France,Saudi Arabia,4.0,0.0,FIFA World Cup,Saint-Denis,France,False,0.9778203106917219,24.620610697250328,0.18443791558520506,20.45641027246804,0.19241774533126418
1998-06-18,South Africa,Denmark,1.0,1.0,FIFA World Cup,Toulouse,France,True,0.3310818860119781,23.12397685957599,0.40473256742453706,24.086385114096043,0.1971373082907068
1998-06-19,Spain,Paraguay,0.0,0.0,FIFA World Cup,Saint-Étienne,France,True,0.7420117619627867,24.791005121224277,0.18172507123122042,23.452838954478704,0.1645834322441436
1998-06-19,Nigeria,Bulgaria,1.0,0.0,FIFA World Cup,Paris,France,True,0.4559137781716468,23.65426043677856,0.197652940826258,23.883330877379805,0.17203115692589963
1998-06-20,Japan,Croatia,0.0,1.0,FIFA World Cup,Nantes,France,True,0.09105349605383295,21.69043239955212,0.21635662329589606,24.737485407868117,0.48665329276775815
1998-06-20,Netherlands,Korea Republic,5.0,0.0,FIFA World Cup,Marseille,France,True,0.9152503796817967,24.76779021901768,0.18193129048018003,21.943798459815678,0.1499509906445967
1998-06-20,Belgium,Mexico,2.0,2.0,FIFA World Cup,Bordeaux,France,True,0.5052712382513795,24.106713916469754,0.1858863619585759,24.07929164671617,0.2019433585903063
1998-06-21,Argentina,Jamaica,5.0,0.0,FIFA World Cup,Paris,France,True,0.8792234201025722,24.589228327398413,0.14996670056381603,22.153433381500786,0.23959666326844156
1998-06-21,Germany,Serbia,2.0,2.0,FIFA World Cup,Lens,France,True,0.5738774444824513,25.283386114651666,0.174097424518734,24.848575340283467,0.5515314725672288
1998-06-21,USA,Iran,1.0,2.0,FIFA World Cup,Lyon,France,True,0.7337449588161404,23.129845717045097,0.2289801577270441,21.817215777604996,0.22480811168629686
1998-06-22,Colombia,Tunisia,1.0,0.0,FIFA World Cup,Montpellier,France,True,0.39971476783840654,22.890237935387127,0.19185676143673694,23.41889048724512,0.20928498067842502
1998-06-22,Romania,England,2.0,1.0,FIFA World Cup,Toulouse,France,True,0.3504634919081857,24.22175747431322,0.17510330431328872,25.014761667490973,0.1846092231225146
1998-06-23,Brazil,Norway,1.0,2.0,FIFA World Cup,Marseille,France,True,0.7544338249478234,25.037199383774357,0.14878213880733082,23.61490194146915,0.20887455635901153
1998-06-23,Chile,Cameroon,1.0,1.0,FIFA World Cup,Nantes,France,True,0.5203898088169607,23.45513830311366,0.16496749432749147,23.3496235448998,0.19069302639903854
1998-06-23,Italy,Austria,2.0,1.0,FIFA World Cup,Saint-Denis,France,True,0.585911717590892,24.96547299240962,0.16207661564827214,24.51914525940843,0.17365065002285465
1998-06-23,Scotland,Morocco,0.0,3.0,FIFA World Cup,Saint-Étienne,France,True,0.5662886982949296,24.116773381897186,0.18737447647049563,23.770662497165628,0.19555130210475
1998-06-24,Spain,Bulgaria,6.0,1.0,FIFA World Cup,Lens,France,True,0.6698498975187508,24.78371291216144,0.18122924809020158,23.87733713479935,0.17161117667036604
1998-06-24,South Africa,Saudi Arabia,2.0,2.0,FIFA World Cup,Bordeaux,France,True,0.889844199401189,23.149393424642554,0.39935244878470744,20.457411657940526,0.19183011284385332
1998-06-24,France,Denmark,2.0,1.0,FIFA World Cup,Lyon,France,False,0.6026610660774607,24.619690647197665,0.18392046720539254,24.08035510179427,0.19651875152364867
1998-06-24,Nigeria,Paraguay,1.0,3.0,FIFA World Cup,Toulouse,France,True,0.5392078920652228,23.66217251236999,0.19701572351030613,23.458820337938104,0.164215189802791
1998-06-25,Belgium,Korea Republic,1.0,1.0,FIFA World Cup,Paris,France,True,0.8543938876799069,24.10655795108033,0.18535698966671263,21.93571861238225,0.14967233638836322
1998-06-25,Estonia,Latvia,0.0,2.0,Baltic Cup,Valga,Estonia,False,0.35043818927335,23.596079858834948,0.30379360981506676,24.43340101926442,0.29572210702377844
1998-06-25,Germany,Iran,2.0,0.0,FIFA World Cup,Montpellier,France,True,0.9511384514814318,25.2813055900113,0.17368040597668297,21.836366661413386,0.22387535888391039
1998-06-25,Netherlands,Mexico,2.0,2.0,FIFA World Cup,Saint-Étienne,France,True,0.6322076317994522,24.779683982063577,0.18143340344298223,24.0794757206646,0.20126443772150673
1998-06-25,USA,Serbia,0.0,1.0,FIFA World Cup,Nantes,France,True,0.2262022836232096,23.10997742357139,0.22799442749685755,24.86945525741708,0.5381260955054632
1998-06-26,Romania,Tunisia,1.0,1.0,FIFA World Cup,Saint-Denis,France,True,0.6542395883737193,24.23082226284822,0.17466011358014905,23.40787920698106,0.20852985141166722
1998-06-26,Japan,Jamaica,1.0,2.0,FIFA World Cup,Lyon,France,True,0.42020587358760253,21.705681986166528,0.21554923904665224,22.129222082471223,0.23846284117847663
1998-06-26,Colombia,England,0.0,2.0,FIFA World Cup,Lens,France,True,0.15463175070998014,22.89949164592715,0.19127517671809927,25.00468595460553,0.18408979041584939
1998-06-26,Argentina,Croatia,1.0,0.0,FIFA World Cup,Bordeaux,France,True,0.48907751027961466,24.598713521743388,0.14968907432891063,24.66033166239908,0.4773941915458748
1998-06-27,Brazil,Chile,4.0,1.0,FIFA World Cup,Paris,France,True,0.778749096254566,25.028359562060153,0.14851041130033363,23.45466473659715,0.16459687822920852
1998-06-27,Italy,Norway,1.0,0.0,FIFA World Cup,Marseille,France,True,0.7406525670544493,24.967874462945165,0.16172474216078922,23.63232454250884,0.20812202585866235
1998-06-28,Estonia,Lithuania,0.0,0.0,Baltic Cup,Viljandi,Estonia,False,0.3081696372052152,23.578715982475323,0.3015165932469603,24.672848640141538,0.30461125374986725
1998-06-28,France,Paraguay,1.0,0.0,FIFA World Cup,Lens,France,False,0.7122221100961816,24.62225679187996,0.18340748466782458,23.468615774273324,0.16384975770511195
1998-06-28,Nigeria,Denmark,1.0,4.0,FIFA World Cup,Saint-Denis,France,True,0.41811295473607324,23.64807316830006,0.1963843558643652,24.077425362279538,0.19589284357477546
1998-06-29,Germany,Mexico,2.0,1.0,FIFA World Cup,Montpellier,France,True,0.7172883780580007,25.274137107957863,0.1732490476461747,24.084145836081703,0.2005921372845562
1998-06-29,Netherlands,Serbia,2.0,1.0,FIFA World Cup,Toulouse,France,True,0.48982741201489255,24.77588884015227,0.180941049169197,24.834774623752754,0.5256960997658169
1998-06-30,Romania,Croatia,0.0,1.0,FIFA World Cup,Bordeaux,France,True,0.4303317063551375,24.22668909418728,0.1742209529313413,24.621621865451257,0.4686097557100824
1998-06-30,Argentina,England,2.0,2.0,FIFA World Cup,Saint-Étienne,France,True,0.42257192486391104,24.602519329416772,0.14942052234525124,25.00409869658346,0.18357522117972896
1998-07-03,Brazil,Denmark,3.0,2.0,FIFA World Cup,Nantes,France,True,0.6758910630040549,25.033559906229367,0.14823942774345625,24.093658209965984,0.19527336263738557
1998-07-03,France,Italy,0.0,0.0,FIFA World Cup,Saint-Denis,France,False,0.433477003315933,24.6214040179789,0.18289778110043212,24.966428492789095,0.1613759093797542
1998-07-04,Germany,Croatia,0.0,3.0,FIFA World Cup,Lyon,France,True,0.6107107872992674,25.273197668905123,0.17282018948789174,24.642881210261542,0.4603037231162046
1998-07-04,Netherlands,Argentina,2.0,1.0,FIFA World Cup,Marseille,France,True,0.5343963667457645,24.781383694520034,0.1804709616768539,24.603999814838037,0.1491448369071482
1998-07-07,Brazil,Netherlands,1.0,1.0,FIFA World Cup,Marseille,France,True,0.5480388283604647,25.033777832410852,0.1479704135645133,24.785808672135932,0.1799849167495809
1998-07-08,France,Croatia,2.0,1.0,FIFA World Cup,Saint-Denis,France,False,0.47456045227158083,24.623308734867837,0.18239223635766175,24.766114302147905,0.4524236406095488
1998-07-11,Netherlands,Croatia,1.0,2.0,FIFA World Cup,Paris,France,True,0.51046704948212,24.78713547587866,0.17950275001510366,24.72861520993051,0.44493899911705864
1998-07-12,France,Brazil,3.0,0.0,FIFA World Cup,Saint-Denis,France,False,0.4221686772262847,24.62940330207904,0.18190523849047036,25.032881055867282,0.14770260488436068
1998-07-19,Mozambique,Angola,1.0,1.0,COSAFA Cup,Maputo,Mozambique,False,0.40391794982813534,22.194022777491735,0.3055828382500489,22.725653241434728,0.3040240751878048
1998-07-20,Syria,Jordan,3.0,0.0,Arab Cup qualification,Beirut,Lebanon,True,0.7707853630533157,20.565543497501505,0.2508400098398359,18.950840171373514,0.3389475193458436
1998-07-20,Lebanon,Palestine,3.0,1.0,Arab Cup qualification,Beirut,Lebanon,False,0.23198786697365004,19.18086455880356,0.39724506839949414,21.0251092617235,0.6004742029924107
1998-07-22,Curaçao,Haiti,0.0,4.0,CFU Caribbean Cup,Kingston,Jamaica,True,0.31952200452647705,21.147133811124565,0.33126313491481174,22.184111000022906,0.31801651958096605
1998-07-22,Jamaica,Cayman Islands,4.0,0.0,CFU Caribbean Cup,Kingston,Jamaica,False,0.8197922243124478,22.13459294411862,0.23734936556728273,20.026526964738995,0.4986349370321645
1998-07-22,Martinique,Dominica,5.0,1.0,CFU Caribbean Cup,Port of Spain,Trinidad and Tobago,True,0.7510288396978008,22.286875677921657,0.32343827047112916,20.730623883302396,0.4377849423368045
1998-07-22,Trinidad and Tobago,Antigua and Barbuda,3.0,2.0,CFU Caribbean Cup,Port of Spain,Trinidad and Tobago,False,0.8229036025524321,22.687211746614626,0.2506950395501747,20.663533219122208,0.34842579620156233
1998-07-23,Lebanon,Jordan,0.0,2.0,Arab Cup qualification,Beirut,Lebanon,False,0.5611559597213127,19.273930087897227,0.39240714488729733,18.925078535604552,0.3357811146368938
1998-07-23,Palestine,Syria,1.0,2.0,Arab Cup qualification,Beirut,Lebanon,True,0.5385917346906468,20.81246163955647,0.5836300855451189,20.579652689206416,0.24955934283062528
1998-07-24,Jamaica,Curaçao,3.0,2.0,CFU Caribbean Cup,Kingston,Jamaica,False,0.6873665886529963,22.151497314815344,0.2362866318267129,21.094782352467664,0.328323671583698
1998-07-24,Trinidad and Tobago,Martinique,2.0,1.0,CFU Caribbean Cup,Port of Spain,Trinidad and Tobago,False,0.5640900020866111,22.676808518054205,0.2494179307134403,22.327478485451827,0.32074005696894264
1998-07-24,Antigua and Barbuda,Dominica,2.0,1.0,CFU Caribbean Cup,Port of Spain,Trinidad and Tobago,True,0.5047410374154953,20.683628647144744,0.34498894126465846,20.65623725189642,0.4310704594608361
1998-07-24,Cayman Islands,Haiti,0.0,1.0,CFU Caribbean Cup,Kingston,Jamaica,True,0.16471869048367238,19.9519184720779,0.48870420338461706,22.232359290754346,0.31541668646318854
1998-07-26,Antigua and Barbuda,Martinique,5.0,1.0,CFU Caribbean Cup,Port of Spain,Trinidad and Tobago,True,0.23330947651742118,20.701988721962202,0.3417172241926485,22.316621026315985,0.31805277143650196
1998-07-26,Curaçao,Cayman Islands,0.0,2.0,CFU Caribbean Cup,Kingston,Jamaica,True,0.680487246919716,21.095774247314303,0.3254399613476435,20.00016627407404,0.4794084568769991
1998-07-26,Jamaica,Haiti,2.0,1.0,CFU Caribbean Cup,Kingston,Jamaica,False,0.48864836120510147,22.150983579352694,0.235214031579464,22.212261204100813,0.3129314701900183
1998-07-26,Jordan,Palestine,1.0,1.0,Arab Cup qualification,Beirut,Lebanon,True,0.23228249034282655,18.967338288987783,0.332746773590008,20.746878208302874,0.5678938543633798
1998-07-26,Lebanon,Syria,0.0,1.0,Arab Cup qualification,Beirut,Lebanon,False,0.26702395420089353,19.21621514927687,0.3875561331574324,20.591643994467635,0.2483426681609635
1998-07-26,Trinidad and Tobago,Dominica,8.0,0.0,CFU Caribbean Cup,Port of Spain,Trinidad and Tobago,False,0.8204235112673637,22.68337415921499,0.24815635361112118,20.627571679136363,0.42467050744908635
1998-07-29,Jamaica,Antigua and Barbuda,1.0,0.0,CFU Caribbean Cup,Port of Spain,Trinidad and Tobago,True,0.733593390141634,22.160525829032277,0.23415420569401352,20.807429682887612,0.3384933476865746
